yearsPlayed,age,G_all,weight,G_dh,birthCountry - Japan,height,birthCountry - Cuba,birthCountry - D.R.,birthCountry - Venezuela,birthCountry - Colombia,birthCountry - Jamaica,birthCountry - Honduras,birthCountry - France,birthCountry - V.I.,G_p,birthCountry - USA,NumPos,G_cf,G_rf,G_ss,G_2b,G_3b,G_c,G_lf
9.0,30.0,20.0,225.0,0.0,0,77.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,28.0,37.0,200.0,0.0,0,75.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,30.0,70.0,175.0,0.0,0,73.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,32.0,66.0,195.0,0.0,0,73.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,31.0,96.0,192.0,0.0,0,71.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,37.0,101.0,195.0,0.0,0,73.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,25.0,60.0,200.0,0.0,0,74.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,33.0,46.0,200.0,0.0,0,75.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,38.0,59.0,175.0,0.0,0,70.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,30.0,138.0,195.0,0.0,0,76.0,0,0,0,0,0,0,0,0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7.0,28.0,130.0,195.0,0.0,0,73.0,0,0,0,0,0,0,0,0,0.0,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.0,28.0,142.0,150.0,0.0,0,69.0,0,0,0,0,0,0,0,0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6.0,32.0,39.0,195.0,0.0,0,73.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,26.0,17.0,195.0,0.0,0,77.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,33.0,67.83305583756345,185.0,1.0,0,74.0,0,0,0,0,0,0,0,0,1.0,1,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9.0,29.0,162.0,210.0,0.0,0,76.0,0,0,0,0,0,0,0,0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,29.0,134.0,175.0,0.0,0,72.0,0,0,0,0,0,0,0,0,0.0,1,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5.0,28.0,22.0,162.0,0.0,0,74.0,0,1,0,0,0,0,0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,25.0,110.0,180.0,0.0,0,71.0,0,0,0,0,0,0,0,0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.0,27.0,138.0,170.0,0.0,0,72.0,0,1,0,0,0,0,0,0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9.0,32.0,58.0,190.0,0.0,0,74.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,31.0,122.0,190.0,0.0,0,72.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5.0,28.0,34.0,172.0,1.0,0,71.0,0,0,0,0,0,0,0,0,1.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,33.0,85.0,180.0,0.0,0,72.0,0,0,0,0,0,0,0,0,0.0,1,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3.0,24.0,31.0,207.0,0.0,0,76.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,36.0,132.0,190.0,0.0,0,72.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12.0,35.0,101.0,165.0,1.0,0,70.0,0,0,0,0,0,0,0,0,0.0,1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
10.0,34.0,15.0,185.0,0.0,0,72.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,33.0,28.0,185.0,1.0,0,73.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,33.0,103.0,210.0,1.0,0,74.0,0,0,0,0,0,0,0,0,0.0,1,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,37.0,121.0,175.0,1.0,0,73.0,0,0,0,0,0,0,0,0,0.0,1,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
11.0,33.0,124.0,185.0,0.0,0,73.0,0,0,0,0,0,0,0,0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,31.0,33.0,160.0,0.0,0,73.0,0,0,0,0,0,0,0,0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,35.0,49.0,180.0,0.0,0,70.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,31.0,35.0,190.0,0.0,0,73.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,29.0,156.0,190.0,1.0,0,74.0,0,0,0,0,0,0,0,0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,34.0,31.0,175.0,1.0,0,71.0,0,0,0,0,0,0,0,0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,28.0,105.0,190.0,1.0,0,70.0,0,0,0,0,0,0,0,0,0.0,1,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
4.0,25.0,161.0,200.0,0.0,0,76.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9.0,31.0,114.0,205.0,1.0,0,75.0,0,0,0,0,0,0,0,0,0.0,1,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,26.0,113.0,217.0,1.0,0,75.0,0,0,0,0,0,0,0,0,0.0,1,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4.0,27.0,69.0,175.0,1.0,0,73.0,0,0,0,0,0,0,0,0,0.0,1,5.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
7.0,31.0,56.0,200.0,0.0,0,75.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,25.0,139.0,195.0,1.0,0,74.0,0,0,0,0,0,0,0,0,0.0,1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
9.0,32.0,103.0,182.0,1.0,0,71.0,0,0,1,0,0,0,0,0,0.0,0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
3.0,27.0,156.0,175.0,0.0,0,70.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,27.0,161.0,190.0,0.0,0,74.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5.0,26.0,67.83305583756345,210.0,1.0,0,79.0,0,0,0,0,0,0,0,0,1.0,1,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,26.0,35.0,155.0,0.0,0,73.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,36.0,162.0,185.0,0.0,0,72.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,29.0,41.0,200.0,0.0,0,76.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,23.0,15.0,205.0,0.0,0,76.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,27.0,44.0,225.0,0.0,0,77.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,35.0,155.0,190.0,1.0,0,72.0,0,0,0,0,0,0,0,0,0.0,1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
13.0,34.0,159.0,180.0,1.0,0,74.0,0,0,0,0,0,0,0,0,0.0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5.0,26.0,144.0,210.0,0.0,0,72.0,0,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,25.0,103.0,175.0,0.0,0,71.0,0,0,0,1,0,0,0,0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.0,27.0,96.0,175.0,0.0,0,73.0,0,0,0,0,0,0,0,0,0.0,1,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
5.0,27.0,35.0,200.0,0.0,0,76.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,28.0,26.0,185.0,1.0,0,74.0,0,0,0,0,0,0,0,0,0.0,1,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
14.0,35.0,22.0,178.0,0.0,0,76.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,37.0,41.0,175.0,1.0,0,72.0,0,0,0,0,0,0,0,0,0.0,1,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
5.0,27.0,21.0,165.0,1.0,0,71.0,0,0,0,0,0,0,0,0,0.0,1,5.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
2.0,26.0,25.0,188.0,0.0,0,72.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,28.0,39.0,185.0,0.0,0,73.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,33.0,67.83305583756345,165.0,1.0,0,69.0,0,0,0,0,0,0,0,0,1.0,1,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11.0,32.0,140.0,200.0,1.0,0,74.0,0,0,0,0,0,0,0,0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
